,NetworkRisk
2022-10-10,0.0008688000403306645
2022-10-11,0.0022399925112788523
2022-10-12,0.037303350872906996
2022-10-13,-0.00098429708397815
2022-10-14,0.0211872407494322
2022-10-15,-0.010386602801882599
2022-10-16,0.004766167528701213
2022-10-17,-0.0054647432884311
2022-10-18,0.00946301430642925
2022-10-19,0.002387928786875001
2022-10-20,-0.00824575960840655
2022-10-21,0.00664973171155805
2022-10-22,-0.0030948785448098497
2022-10-23,-0.002552435323622899
2022-10-24,-0.006020001553998249
2022-10-25,-0.006172127970673
2022-10-26,0.005649278878014162
2022-10-27,0.054154237938663766
2022-10-28,0.034810915091327
2022-10-29,0.03829211650950094
2022-10-30,0.1631509484992495
2022-10-31,-0.005627177043484951
2022-11-01,0.04003828973099437
2022-11-02,0.05408389925812665
2022-11-03,-0.041728656297530455
2022-11-04,-0.02322099350494205
2022-11-05,0.0008117327544430453
2022-11-06,0.0018174375030771501
2022-11-07,-0.0400038118841923
2022-11-08,0.0005216515035495507
2022-11-09,-0.10173759420822001
2022-11-10,0.015324136966450741
2022-11-11,0.05628724250811956
2022-11-12,0.015582990996001748
2022-11-13,-0.030905679614826556
2022-11-14,-0.0012217822139357487
2022-11-15,0.005525433817891999
2022-11-16,0.0085624544697749
2022-11-17,-0.0014229343688704522
2022-11-18,0.003180432287117699
2022-11-19,-0.00591486097136035
2022-11-20,-0.00252030930456115
2022-11-21,-0.024310523520058348
2022-11-22,-0.02814125542375385
2022-11-23,0.024481695056569594
2022-11-24,0.015634461080351852
2022-11-25,-0.01216709310997775
2022-11-26,0.04425604123542285
2022-11-27,-0.00619097180663435
2022-11-28,0.055058553042051844
2022-11-29,-0.014603565619697148
2022-11-30,0.023028923891031797
2022-12-01,0.017056606255553244
2022-12-02,-0.0263125704170856
2022-12-03,-0.0019335314271611498
2022-12-04,0.0024128835157829
2022-12-05,0.014752455693258646
2022-12-06,-0.00977546102024805
2022-12-07,-0.008298314222173699
2022-12-08,-0.014937271600554601
2022-12-09,0.005473293839321752
2022-12-10,-0.003411248376362198
2022-12-11,-0.0047497317262528
2022-12-12,-0.01880918468679145
2022-12-13,-0.01274365738378525
2022-12-14,0.0020209709241666984
2022-12-15,-0.0107084464811542
2022-12-16,-0.0190727794359037
2022-12-17,-0.0321100786903842
2022-12-18,0.01729301829079365
2022-12-19,-0.0027052357446825
2022-12-20,-0.05239307432065259
2022-12-21,0.01669003149443135
2022-12-22,-0.009908230595185601
2022-12-23,0.020985554555389602
2022-12-24,-0.0003338326170315999
2022-12-25,0.0043014014863169
2022-12-26,-0.0112286793925451
2022-12-27,-0.00236306794904
2022-12-28,-0.013272720246635951
2022-12-29,-0.01921656516686005
2022-12-30,0.0032478603304319995
2022-12-31,-0.019261419250353327
2023-01-01,0.01279252312398775
2023-01-02,0.00019641627718225765
2023-01-03,0.0042885477674303495
2023-01-04,-0.00666597466377105
2023-01-05,0.007833147011957253
2023-01-06,-0.010148936139482628
2023-01-07,0.0031343635175353005
2023-01-08,-0.00019822455046614954
2023-01-09,0.00291130927693205
2023-01-10,0.005938859006388901
2023-01-11,0.013568896618910052
2023-01-12,0.0004546267014993999
2023-01-13,0.0022531863245973983
2023-01-14,0.020196385466698847
2023-01-15,0.0231000516716366
2023-01-16,0.0035623837759105005
2023-01-17,0.0237262574559517
2023-01-18,-0.00028249498106405063
2023-01-19,-0.00042317283732050404
2023-01-20,0.005216889718896049
2023-01-21,0.03044627120754429
2023-01-22,0.0028881120888971518
2023-01-23,0.01887640936287645
2023-01-24,0.00663190901835535
2023-01-25,-0.011287561028409998
2023-01-26,0.0100493487851026
2023-01-27,-0.0011876573086395002
2023-01-28,0.006403510481556201
2023-01-29,0.01153546331344605
2023-01-30,0.006015988957673694
2023-01-31,-0.00859703208669305
2023-02-01,0.045884393099179646
2023-02-02,-0.0161358620563432
2023-02-03,-0.021621937674410903
2023-02-04,0.0033409728433627496
2023-02-05,-0.0114983701854087
2023-02-06,0.0004628133193324037
2023-02-07,-0.001043539748819199
2023-02-08,0.0011957708437080501
2023-02-09,0.0007508201324952987
2023-02-10,-0.005399344306223804
2023-02-11,0.00401699013726735
2023-02-12,-0.00494971024349135
2023-02-13,0.007447974723874949
2023-02-14,0.008588732681129951
2023-02-15,-0.004616536020845049
2023-02-16,0.0022766082024093526
2023-02-17,0.0107109336012766
2023-02-18,-0.01916680578587765
2023-02-19,-0.01755309036828325
2023-02-20,-0.0017557309134415017
2023-02-21,0.020538073333064
2023-02-22,0.0343741941073461
2023-02-23,-0.023380989141720602
2023-02-24,-0.01989207792748135
2023-02-25,-0.023203077001000508
2023-02-26,0.00335291914628235
2023-02-27,0.0018765555381325006
2023-02-28,-0.0037524252956700997
2023-03-01,-0.00152720007168795
2023-03-02,0.00014239049204435236
2023-03-03,-0.0089137418241979
2023-03-04,-0.022296941306070805
2023-03-05,-0.0149328717810066
2023-03-06,0.00400831027993335
2023-03-07,-0.0005851047700974
2023-03-08,-0.008809033291523799
2023-03-09,-0.022085630719735204
2023-03-10,-0.03799530504493615
2023-03-11,0.004100846010920499
2023-03-12,0.01026920918246975
2023-03-13,0.017304951495668054
2023-03-14,0.028033042151815055
2023-03-15,0.015490464320356603
2023-03-16,-0.026168754944134297
2023-03-17,0.028459040312779002
2023-03-18,0.035779634032844905
2023-03-19,-0.0224016636871495
2023-03-20,0.023411296143080254
2023-03-21,-0.0121074183767142
2023-03-22,0.023476776450667654
2023-03-23,-0.01553181568320905
2023-03-24,0.02007363119720395
2023-03-25,-0.011285285288084194
2023-03-26,-0.0068347543323291
2023-03-27,0.0029858050091225003
2023-03-28,-0.0088749798090181
2023-03-29,-0.008133773757754053
2023-03-30,0.027121643265319205
2023-03-31,-0.015616584010075521
2023-04-01,0.01835628887299795
2023-04-02,0.028812544878581803
2023-04-03,-0.0130886153836277
2023-04-04,0.08546265132427044
2023-04-05,-0.0162043850589332
2023-04-06,-0.0204902019284337
2023-04-07,-0.034964784097207394
2023-04-08,-0.0181341414890401
2023-04-09,-0.0022964704560359
2023-04-10,0.01684569916522408
2023-04-11,0.017538052499049828
2023-04-12,0.010532922936319182
